Perovskite_dimension_3D,Perovskite_composition_perovskite_ABC3_structure,Perovskite_composition_short_form,Perovskite_composition_long_form,Perovskite_band_gap
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
FALSE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,FAMAPbBrI,FA0.15MA0.85PbBr0.15I2.85,
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,FAMAPbBrI,FA0.5MA0.5PbBr1.5I1.5,
TRUE,TRUE,FAMAPbBrI,FA0.5MA0.5PbBr1.5I1.5,
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.7885MA0.1615PbBr0.51I2.49,
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.7885MA0.1615PbBr0.51I2.49,
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.7885MA0.1615PbBr0.51I2.49,
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.7885MA0.1615PbBr0.51I2.49,
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,FAMAPbI,FA0.85MA0.15PbI3,
TRUE,TRUE,FAMAPbI,FA0.85MA0.15PbI3,
TRUE,TRUE,FAMAPbI,FA0.85MA0.15PbI3,
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.57
TRUE,TRUE,MAPbI,MAPbI3,1.57
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.5
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.623
TRUE,TRUE,MAPbI,MAPbI3,1.624
TRUE,TRUE,MAPbI,MAPbI3,1.626
TRUE,TRUE,MAPbI,MAPbI3,1.627
TRUE,TRUE,MAPbI,MAPbI3,1.623
TRUE,TRUE,MAPbI,MAPbI3,1.624
TRUE,TRUE,MAPbI,MAPbI3,1.626
TRUE,TRUE,MAPbI,MAPbI3,1.627
TRUE,TRUE,MAPbI,MAPbI3,1.623
TRUE,TRUE,MAPbI,MAPbI3,1.624
TRUE,TRUE,MAPbI,MAPbI3,1.626
TRUE,TRUE,MAPbI,MAPbI3,1.627
TRUE,TRUE,MAPbI,MAPbI3,1.623
TRUE,TRUE,MAPbI,MAPbI3,1.624
TRUE,TRUE,MAPbI,MAPbI3,1.626
TRUE,TRUE,MAPbI,MAPbI3,1.627
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.81MA0.14PbBr0.45I2.55,1.585
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.81MA0.14PbBr0.45I2.55,1.585
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.81MA0.14PbBr0.45I2.55,1.585
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.81MA0.14PbBr0.45I2.55,1.585
TRUE,TRUE,MAPbI,MAPbI3,1.585
TRUE,TRUE,MAPbI,MAPbI3,1.585
TRUE,TRUE,MAPbI,MAPbI3,1.585
TRUE,TRUE,MAPbI,MAPbI3,1.585
TRUE,TRUE,MAPbI,MAPbI3,1.585
TRUE,TRUE,MAPbI,MAPbI3,1.585
TRUE,TRUE,MAPbI,MAPbI3,1.585
TRUE,TRUE,MAPbI,MAPbI3,1.585
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,1.61
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,1.61
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,1.61
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,1.61
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,1.61
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.79MA0.16PbBr0.51I2.49,1.61
TRUE,TRUE,FAPbI,FAPbI3,1.48
TRUE,TRUE,CsFAPbI,CsFAPbI3,
TRUE,TRUE,CsFAPbI,CsFAPbI3,
TRUE,TRUE,CsFAPbI,CsFAPbI3,
TRUE,TRUE,CsFAPbI,Cs0.1FA0.9PbI3,
TRUE,TRUE,FAMAPbI,FA0.85MA0.15PbI3,1.55
TRUE,TRUE,FAMAPbI,FA0.85MA0.15PbI3,1.56
TRUE,TRUE,FAMAPbI,FA0.85MA0.15PbI3,1.55
TRUE,TRUE,FAMAPbI,FA0.85MA0.15PbI3,1.56
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,CsFAMAPbBrI,Cs0.07FA0.78MA0.15PbBr0.45I2.55,1.61
TRUE,TRUE,CsFAMAPbBrI,Cs0.07FA0.78MA0.15PbBr0.45I2.55,1.61
TRUE,TRUE,CsFAMAPbBrI,Cs0.07FA0.78MA0.15PbBr0.45I2.55,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,FAMAPbBrI,FA0.85MA0.15PbBr0.45I2.55,
TRUE,TRUE,FAMAPbBrI,FA0.85MA0.15PbBr0.45I2.55,
TRUE,TRUE,MAPbI,MAPbI3,1.57
TRUE,TRUE,MAPbI,MAPbI3,1.57
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbBrI,MAPbBr0.3I2.7,1.63
TRUE,TRUE,MAPbBrI,MAPbBr0.45I2.55,1.68
TRUE,TRUE,MAPbBrI,MAPbBr0.6I2.4,1.71
TRUE,TRUE,MAPbBrI,MAPbBr0.75I2.25,1.73
TRUE,TRUE,MAPbBrI,MAPbBr0.9I2.1,1.75
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.54
TRUE,TRUE,MAPbI,MAPbI3,1.54
TRUE,TRUE,MAPbI,MAPbI3,1.54
TRUE,TRUE,MAPbI,MAPbI3,1.54
TRUE,TRUE,HASnI,HASnI3,
TRUE,TRUE,MASnI,MASnI3,
TRUE,TRUE,FAPbI,FAPbI3,1.49
TRUE,TRUE,FAPbI,FAPbI3,1.49
TRUE,TRUE,FAPbI,FAPbI3,1.49
TRUE,TRUE,FAPbI,FAPbI3,1.49
TRUE,TRUE,FAPbI,FAPbI3,1.49
TRUE,TRUE,FAPbI,FAPbI3,1.49
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.62
TRUE,TRUE,MAPbI,MAPbI3,1.62
TRUE,TRUE,MAPbI,MAPbI3,1.62
TRUE,TRUE,MAPbI,MAPbI3,1.62
TRUE,TRUE,MAPbI,MAPbI3,1.62
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.65MA0.3PbBr0.15I2.85,1.55
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.65MA0.3PbBr0.15I2.85,1.55
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.65MA0.3PbBr0.15I2.85,1.55
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.65MA0.3PbBr0.15I2.85,1.55
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.65MA0.3PbBr0.15I2.85,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,CsFAPbBrI,Cs0.05FA0.95PbBr0.15I2.85,1.55
TRUE,TRUE,CsFAPbBrI,Cs0.05FA0.95PbBr0.15I2.85,1.55
TRUE,TRUE,CsFAPbBrI,Cs0.05FA0.95PbBr0.15I2.85,1.55
TRUE,TRUE,CsFAPbBrI,Cs0.05FA0.95PbBr0.15I2.85,1.55
TRUE,TRUE,CsFAPbBrI,Cs0.05FA0.95PbBr0.15I2.85,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.55
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,FALSE,CsBiI,Cs3Bi2I9,1.8
TRUE,FALSE,CsBiI,Cs3Bi2I9,1.8
TRUE,FALSE,CsBiI,Cs3Bi2I9,1.8
TRUE,FALSE,CsBiI,Cs3Bi2I9,1.8
TRUE,FALSE,CsBiI,Cs3Bi2I9,1.8
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,FAMAPbI,FA0.1MA0.9PbI3,1.51
TRUE,TRUE,FAMAPbI,FA0.1MA0.9PbI3,1.51
TRUE,TRUE,FAMAPbI,FA0.1MA0.9PbI3,1.51
TRUE,TRUE,FAMAPbI,FA0.1MA0.9PbI3,1.51
TRUE,TRUE,FAMAPbI,FA0.1MA0.9PbI3,1.51
TRUE,TRUE,FAMAPbI,FA0.1MA0.9PbI3,1.51
TRUE,TRUE,FAMAPbI,FA0.1MA0.9PbI3,1.51
TRUE,TRUE,FAMAPbI,FA0.1MA0.9PbI3,1.51
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbI,MAPbI3,1.61
TRUE,TRUE,MAPbBr,MAPbBr3,2.3
TRUE,TRUE,MAPbBr,MAPbBr3,2.3
TRUE,TRUE,MAPbBr,MAPbBr3,2.3
TRUE,TRUE,MAPbBr,MAPbBr3,2.3
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
TRUE,TRUE,MAPbI,MAPbI3,1.59
